t (s)	T [K]	Ibias (A)	Vbias [V]	Rrem(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	Rterm(ohm)	After Loop Nº
1.0379950E+1	3.0039963E+2	8.1733670E-5	1.0000000E-1	1.2234860E+3	1.0000970E-1	1.2236046E+3	-9.7000002E-6	-1.1867814E-1	8.7835798E+0	1.0000000E+0
1.0530216E+1	3.0041629E+2	8.2056817E-5	1.0000000E-1	1.2186677E+3	9.9993713E-2	1.2185911E+3	6.2899999E-6	7.6654203E-2	8.7833939E+0	1.0000000E+0
1.0680734E+1	3.0040536E+2	8.1927457E-5	1.0000000E-1	1.2205919E+3	1.0001990E-1	1.2208348E+3	-1.9900001E-5	-2.4289781E-1	8.7835159E+0	1.0000000E+0
1.0831000E+1	3.0039407E+2	8.2216167E-5	1.0000000E-1	1.2163058E+3	1.0000800E-1	1.2164031E+3	-8.0000000E-6	-9.7304463E-2	8.7836418E+0	1.0000000E+0
1.0981000E+1	3.0040897E+2	8.2492297E-5	1.0000000E-1	1.2122344E+3	1.0001040E-1	1.2123605E+3	-1.0400000E-5	-1.2607238E-1	8.7834759E+0	1.0000000E+0
1.1131250E+1	3.0040897E+2	8.2455983E-5	1.0000000E-1	1.2127683E+3	1.0000300E-1	1.2128047E+3	-3.0000001E-6	-3.6383048E-2	8.7834759E+0	1.0000000E+0
1.1281783E+1	3.0041074E+2	8.2353123E-5	1.0000000E-1	1.2142831E+3	1.0001110E-1	1.2144178E+3	-1.1100000E-5	-1.3478543E-1	8.7834558E+0	1.0000000E+0
1.1432300E+1	3.0043332E+2	8.1842387E-5	1.0000000E-1	1.2218607E+3	1.0000440E-1	1.2219144E+3	-4.3999999E-6	-5.3761870E-2	8.7832041E+0	1.0000000E+0
1.1582566E+1	3.0041666E+2	8.1450729E-5	1.0000000E-1	1.2277361E+3	9.9997282E-2	1.2277026E+3	2.7200001E-6	3.3394422E-2	8.7833900E+0	1.0000000E+0
1.1732817E+1	3.0039767E+2	8.2304330E-5	1.0000000E-1	1.2150029E+3	1.0001350E-1	1.2151669E+3	-1.3500000E-5	-1.6402540E-1	8.7836018E+0	1.0000000E+0
1.1883083E+1	3.0041254E+2	8.2429258E-5	1.0000000E-1	1.2131615E+3	9.9998467E-2	1.2131428E+3	1.5300000E-6	1.8561371E-2	8.7834358E+0	1.0000000E+0
1.2033600E+1	3.0042203E+2	8.2434090E-5	1.0000000E-1	1.2130903E+3	1.0001850E-1	1.2133148E+3	-1.8500001E-5	-2.2442171E-1	8.7833300E+0	1.0000000E+0
1.2183867E+1	3.0040897E+2	8.1974300E-5	1.0000000E-1	1.2198945E+3	9.9995367E-2	1.2198380E+3	4.6300001E-6	5.6481116E-2	8.7834759E+0	1.0000000E+0
1.2334383E+1	3.0042581E+2	8.1879960E-5	1.0000000E-1	1.2213000E+3	1.0001590E-1	1.2214943E+3	-1.5899999E-5	-1.9418670E-1	8.7832880E+0	1.0000000E+0
1.2484650E+1	3.0043152E+2	8.2471553E-5	1.0000000E-1	1.2125393E+3	9.9997282E-2	1.2125063E+3	2.7200001E-6	3.2981072E-2	8.7832241E+0	1.0000000E+0
1.2635167E+1	3.0041827E+2	8.2038066E-5	1.0000000E-1	1.2189463E+3	9.9993467E-2	1.2188667E+3	6.5300001E-6	7.9597190E-2	8.7833719E+0	1.0000000E+0
1.2785684E+1	3.0042581E+2	8.2111037E-5	1.0000000E-1	1.2178630E+3	1.0001540E-1	1.2180505E+3	-1.5400001E-5	-1.8755090E-1	8.7832880E+0	1.0000000E+0
1.2935683E+1	3.0044086E+2	8.1611070E-5	1.0000000E-1	1.2253240E+3	1.0000900E-1	1.2254342E+3	-9.0000003E-6	-1.1027916E-1	8.7831202E+0	1.0000000E+0
1.3086200E+1	3.0044641E+2	8.1747108E-5	1.0000000E-1	1.2232848E+3	1.0000300E-1	1.2233215E+3	-3.0000001E-6	-3.6698546E-2	8.7830582E+0	1.0000000E+0
1.3236466E+1	3.0042596E+2	8.1892598E-5	1.0000000E-1	1.2211116E+3	1.0000900E-1	1.2212214E+3	-9.0000003E-6	-1.0990004E-1	8.7832861E+0	1.0000000E+0
1.3386733E+1	3.0041092E+2	8.1643237E-5	1.0000000E-1	1.2248412E+3	1.0000540E-1	1.2249073E+3	-5.4000002E-6	-6.6141419E-2	8.7834539E+0	1.0000000E+0
1.3537250E+1	3.0043887E+2	8.2375271E-5	1.0000000E-1	1.2139565E+3	1.0001020E-1	1.2140804E+3	-1.0200000E-5	-1.2382357E-1	8.7831421E+0	1.0000000E+0
1.3687500E+1	3.0041629E+2	8.2188337E-5	1.0000000E-1	1.2167177E+3	1.0000730E-1	1.2168064E+3	-7.3000001E-6	-8.8820383E-2	8.7833939E+0	1.0000000E+0
2.4976566E+1	3.0096182E+2	8.0633581E-5	1.0000000E-1	1.2401781E+3	9.9996813E-2	1.2401385E+3	3.1899999E-6	3.9561681E-2	8.7773123E+0	1.0000000E+0
2.5126833E+1	3.0095410E+2	8.0723548E-5	1.0000000E-1	1.2387959E+3	1.0000470E-1	1.2388541E+3	-4.6999999E-6	-5.8223404E-2	8.7773981E+0	1.0000000E+0
2.5277082E+1	3.0096936E+2	8.0662627E-5	1.0000000E-1	1.2397314E+3	1.0000590E-1	1.2398046E+3	-5.8999999E-6	-7.3144153E-2	8.7772284E+0	1.0000000E+0
2.5427349E+1	3.0095609E+2	8.0724647E-5	1.0000000E-1	1.2387789E+3	1.0000750E-1	1.2388719E+3	-7.4999998E-6	-9.2908427E-2	8.7773762E+0	1.0000000E+0
2.5577868E+1	3.0094870E+2	8.0520702E-5	1.0000000E-1	1.2419166E+3	1.0002330E-1	1.2422061E+3	-2.3299999E-5	-2.8936657E-1	8.7774582E+0	1.0000000E+0
2.5728134E+1	3.0093723E+2	8.0287493E-5	1.0000000E-1	1.2455240E+3	1.0002520E-1	1.2458379E+3	-2.5200001E-5	-3.1387207E-1	8.7775860E+0	1.0000000E+0
2.5878134E+1	3.0096362E+2	8.0284291E-5	1.0000000E-1	1.2455737E+3	9.9992283E-2	1.2454775E+3	7.7200002E-6	9.6158288E-2	8.7772923E+0	1.0000000E+0
2.6028650E+1	3.0096164E+2	8.0297817E-5	1.0000000E-1	1.2453638E+3	9.9975593E-2	1.2450598E+3	2.4409999E-5	3.0399331E-1	8.7773142E+0	1.0000000E+0
2.6179167E+1	3.0095609E+2	8.0320460E-5	1.0000000E-1	1.2450128E+3	1.0002300E-1	1.2452992E+3	-2.3000001E-5	-2.8635293E-1	8.7773762E+0	1.0000000E+0
2.6329433E+1	3.0096738E+2	8.0318743E-5	1.0000000E-1	1.2450394E+3	1.0002970E-1	1.2454092E+3	-2.9700001E-5	-3.6977673E-1	8.7772503E+0	1.0000000E+0
2.6479433E+1	3.0096344E+2	8.0228347E-5	1.0000000E-1	1.2464421E+3	1.0002060E-1	1.2466990E+3	-2.0600000E-5	-2.5676709E-1	8.7772942E+0	1.0000000E+0
2.6629700E+1	3.0097672E+2	8.0710081E-5	1.0000000E-1	1.2390026E+3	9.9991083E-2	1.2388921E+3	8.9200003E-6	1.1051904E-1	8.7771463E+0	1.0000000E+0
2.6780216E+1	3.0097690E+2	8.0680227E-5	1.0000000E-1	1.2394611E+3	1.0001920E-1	1.2396990E+3	-1.9200001E-5	-2.3797652E-1	8.7771444E+0	1.0000000E+0
2.6930733E+1	3.0096756E+2	8.0275939E-5	1.0000000E-1	1.2457032E+3	9.9996090E-2	1.2456545E+3	3.9100000E-6	4.8706997E-2	8.7772484E+0	1.0000000E+0
2.7080999E+1	3.0097888E+2	8.0266444E-5	1.0000000E-1	1.2458507E+3	1.0001370E-1	1.2460214E+3	-1.3700000E-5	-1.7068155E-1	8.7771215E+0	1.0000000E+0
2.7231001E+1	3.0096002E+2	8.0700447E-5	1.0000000E-1	1.2391505E+3	1.0001090E-1	1.2392855E+3	-1.0900000E-5	-1.3506740E-1	8.7773323E+0	1.0000000E+0
2.7381517E+1	3.0098248E+2	8.0479309E-5	1.0000000E-1	1.2425554E+3	9.9987753E-2	1.2424032E+3	1.2250000E-5	1.5221304E-1	8.7770824E+0	1.0000000E+0
2.7531784E+1	3.0098444E+2	8.0339727E-5	1.0000000E-1	1.2447141E+3	1.0000130E-1	1.2447303E+3	-1.3000000E-6	-1.6181285E-2	8.7770596E+0	1.0000000E+0
2.7682301E+1	3.0096542E+2	8.0549340E-5	1.0000000E-1	1.2414751E+3	1.0000370E-1	1.2415210E+3	-3.7000000E-6	-4.5934580E-2	8.7772722E+0	1.0000000E+0
2.7832567E+1	3.0096002E+2	8.0574959E-5	1.0000000E-1	1.2410803E+3	1.0001640E-1	1.2412839E+3	-1.6399999E-5	-2.0353718E-1	8.7773323E+0	1.0000000E+0
2.7983084E+1	3.0096738E+2	8.0614329E-5	1.0000000E-1	1.2404742E+3	1.0001610E-1	1.2406740E+3	-1.6100001E-5	-1.9971636E-1	8.7772503E+0	1.0000000E+0
2.8133333E+1	3.0097495E+2	8.0180092E-5	1.0000000E-1	1.2471924E+3	9.9998243E-2	1.2471704E+3	1.7600000E-6	2.1950586E-2	8.7771664E+0	1.0000000E+0
2.8283600E+1	3.0095822E+2	8.0212951E-5	1.0000000E-1	1.2466815E+3	1.0000160E-1	1.2467014E+3	-1.6000000E-6	-1.9946903E-2	8.7773523E+0	1.0000000E+0
2.8433867E+1	3.0095410E+2	8.0229678E-5	1.0000000E-1	1.2464215E+3	1.0000540E-1	1.2464889E+3	-5.4000002E-6	-6.7306764E-2	8.7773981E+0	1.0000000E+0
2.8584116E+1	3.0096936E+2	8.0429978E-5	1.0000000E-1	1.2433175E+3	1.0001110E-1	1.2434554E+3	-1.1100000E-5	-1.3800824E-1	8.7772284E+0	1.0000000E+0
2.8734650E+1	3.0093903E+2	8.0406629E-5	1.0000000E-1	1.2436786E+3	1.0000540E-1	1.2437457E+3	-5.4000002E-6	-6.7158639E-2	8.7775660E+0	1.0000000E+0
2.8884899E+1	3.0096182E+2	8.0139333E-5	1.0000000E-1	1.2478268E+3	1.0002210E-1	1.2481025E+3	-2.2099999E-5	-2.7576971E-1	8.7773123E+0	1.0000000E+0
2.9035418E+1	3.0096756E+2	8.0245918E-5	1.0000000E-1	1.2461693E+3	1.0001370E-1	1.2463400E+3	-1.3700000E-5	-1.7072520E-1	8.7772484E+0	1.0000000E+0
2.9185684E+1	3.0096738E+2	8.0445789E-5	1.0000000E-1	1.2430731E+3	1.0002570E-1	1.2433926E+3	-2.5699999E-5	-3.1946978E-1	8.7772503E+0	1.0000000E+0
2.9335951E+1	3.0095609E+2	8.0380989E-5	1.0000000E-1	1.2440752E+3	1.0000660E-1	1.2441573E+3	-6.5999998E-6	-8.2108967E-2	8.7773762E+0	1.0000000E+0
2.9486467E+1	3.0098248E+2	8.0611011E-5	1.0000000E-1	1.2405254E+3	1.0001520E-1	1.2407139E+3	-1.5200000E-5	-1.8855985E-1	8.7770824E+0	1.0000000E+0
2.9636734E+1	3.0096756E+2	8.0219368E-5	1.0000000E-1	1.2465817E+3	1.0001900E-1	1.2468186E+3	-1.8999999E-5	-2.3685053E-1	8.7772484E+0	1.0000000E+0
2.9786983E+1	3.0095230E+2	8.0603437E-5	1.0000000E-1	1.2406418E+3	1.0001900E-1	1.2408776E+3	-1.8999999E-5	-2.3572195E-1	8.7774181E+0	1.0000000E+0
2.9937500E+1	3.0096756E+2	8.0097139E-5	1.0000000E-1	1.2484840E+3	1.0002590E-1	1.2488074E+3	-2.5900001E-5	-3.2335737E-1	8.7772484E+0	1.0000000E+0
3.0088034E+1	3.0096164E+2	8.0309517E-5	1.0000000E-1	1.2451824E+3	1.0001090E-1	1.2453181E+3	-1.0900000E-5	-1.3572489E-1	8.7773142E+0	1.0000000E+0
3.0238283E+1	3.0096756E+2	8.0238256E-5	1.0000000E-1	1.2462882E+3	9.9999897E-2	1.2462870E+3	1.0000000E-7	1.2462882E-3	8.7772484E+0	1.0000000E+0
3.0388550E+1	3.0097708E+2	8.0524893E-5	1.0000000E-1	1.2418521E+3	1.0002640E-1	1.2421799E+3	-2.6399999E-5	-3.2784894E-1	8.7771416E+0	1.0000000E+0
3.0538816E+1	3.0096381E+2	8.0559352E-5	1.0000000E-1	1.2413208E+3	1.0001110E-1	1.2414586E+3	-1.1100000E-5	-1.3778661E-1	8.7772903E+0	1.0000000E+0
3.0689333E+1	3.0096576E+2	8.0538193E-5	1.0000000E-1	1.2416470E+3	1.0001040E-1	1.2417761E+3	-1.0400000E-5	-1.2913129E-1	8.7772684E+0	1.0000000E+0
3.0839582E+1	3.0096936E+2	8.0240141E-5	1.0000000E-1	1.2462590E+3	1.0000110E-1	1.2462727E+3	-1.1000000E-6	-1.3708849E-2	8.7772284E+0	1.0000000E+0
3.0989849E+1	3.0097495E+2	8.0086407E-5	1.0000000E-1	1.2486512E+3	9.9982738E-2	1.2484358E+3	1.7259999E-5	2.1551721E-1	8.7771664E+0	1.0000000E+0
3.1140116E+1	3.0095410E+2	8.0578058E-5	1.0000000E-1	1.2410326E+3	1.0000420E-1	1.2410847E+3	-4.2000001E-6	-5.2123368E-2	8.7773981E+0	1.0000000E+0
3.1290634E+1	3.0093918E+2	8.0051846E-5	1.0000000E-1	1.2491903E+3	1.0000940E-1	1.2493077E+3	-9.3999997E-6	-1.1742389E-1	8.7775640E+0	1.0000000E+0
3.1441151E+1	3.0096918E+2	8.0204351E-5	1.0000000E-1	1.2468152E+3	1.0002420E-1	1.2471169E+3	-2.4200001E-5	-3.0172926E-1	8.7772303E+0	1.0000000E+0
3.1591150E+1	3.0093918E+2	8.0080499E-5	1.0000000E-1	1.2487434E+3	1.0002640E-1	1.2490731E+3	-2.6399999E-5	-3.2966828E-1	8.7775640E+0	1.0000000E+0
3.1741417E+1	3.0095410E+2	8.0152837E-5	1.0000000E-1	1.2476165E+3	1.0000780E-1	1.2477137E+3	-7.8000003E-6	-9.7314082E-2	8.7773981E+0	1.0000000E+0
3.1891666E+1	3.0093344E+2	8.0217767E-5	1.0000000E-1	1.2466066E+3	1.0001900E-1	1.2468434E+3	-1.8999999E-5	-2.3685525E-1	8.7776279E+0	1.0000000E+0
3.2041935E+1	3.0095230E+2	8.0105412E-5	1.0000000E-1	1.2483551E+3	1.0003350E-1	1.2487733E+3	-3.3500000E-5	-4.1819897E-1	8.7774181E+0	1.0000000E+0
3.2192200E+1	3.0093903E+2	8.0248421E-5	1.0000000E-1	1.2461305E+3	1.0001660E-1	1.2463373E+3	-1.6600001E-5	-2.0685765E-1	8.7775660E+0	1.0000000E+0
3.2342716E+1	3.0091296E+2	8.0085549E-5	1.0000000E-1	1.2486647E+3	1.0001520E-1	1.2488545E+3	-1.5200000E-5	-1.8979703E-1	8.7778559E+0	1.0000000E+0
3.2492985E+1	3.0092789E+2	8.0193116E-5	1.0000000E-1	1.2469897E+3	1.0003450E-1	1.2474199E+3	-3.4500001E-5	-4.3021145E-1	8.7776899E+0	1.0000000E+0
3.2643501E+1	3.0094098E+2	8.0440142E-5	1.0000000E-1	1.2431604E+3	1.0000940E-1	1.2432773E+3	-9.3999997E-6	-1.1685708E-1	8.7775440E+0	1.0000000E+0
3.2793751E+1	3.0093741E+2	8.0014361E-5	1.0000000E-1	1.2497756E+3	1.0002280E-1	1.2500607E+3	-2.2800001E-5	-2.8494886E-1	8.7775841E+0	1.0000000E+0
3.2944016E+1	3.0090329E+2	8.0011727E-5	1.0000000E-1	1.2498168E+3	1.0003450E-1	1.2502479E+3	-3.4500001E-5	-4.3118677E-1	8.7779636E+0	1.0000000E+0
3.3094532E+1	3.0091083E+2	8.0284401E-5	1.0000000E-1	1.2455720E+3	1.0001180E-1	1.2457190E+3	-1.1800000E-5	-1.4697750E-1	8.7778797E+0	1.0000000E+0
3.3244801E+1	3.0095428E+2	8.0273887E-5	1.0000000E-1	1.2457351E+3	1.0002490E-1	1.2460453E+3	-2.4900000E-5	-3.1018803E-1	8.7773962E+0	1.0000000E+0
3.3395065E+1	3.0090903E+2	8.0279737E-5	1.0000000E-1	1.2456443E+3	1.0002040E-1	1.2458984E+3	-2.0400001E-5	-2.5411144E-1	8.7778997E+0	1.0000000E+0
3.3545315E+1	3.0088461E+2	8.0144317E-5	1.0000000E-1	1.2477490E+3	1.0000370E-1	1.2477953E+3	-3.7000000E-6	-4.6166714E-2	8.7781715E+0	1.0000000E+0
3.3695835E+1	3.0090704E+2	8.0052479E-5	1.0000000E-1	1.2491805E+3	1.0000250E-1	1.2492118E+3	-2.4999999E-6	-3.1229513E-2	8.7779217E+0	1.0000000E+0
3.3845833E+1	3.0090347E+2	8.0016733E-5	1.0000000E-1	1.2497386E+3	1.0002660E-1	1.2500710E+3	-2.6600001E-5	-3.3243048E-1	8.7779617E+0	1.0000000E+0
3.3996101E+1	3.0087921E+2	8.0332000E-5	1.0000000E-1	1.2448340E+3	1.0002490E-1	1.2451439E+3	-2.4900000E-5	-3.0996364E-1	8.7782316E+0	1.0000000E+0
3.4146618E+1	3.0087726E+2	8.0114827E-5	1.0000000E-1	1.2482084E+3	1.0002990E-1	1.2485815E+3	-2.9900000E-5	-3.7321430E-1	8.7782536E+0	1.0000000E+0
3.4296883E+1	3.0086038E+2	7.9942489E-5	1.0000000E-1	1.2508993E+3	1.0001800E-1	1.2511244E+3	-1.8000001E-5	-2.2516187E-1	8.7784424E+0	1.0000000E+0
3.4447151E+1	3.0087546E+2	8.0283331E-5	1.0000000E-1	1.2455886E+3	1.0001110E-1	1.2457268E+3	-1.1100000E-5	-1.3826033E-1	8.7782736E+0	1.0000000E+0
3.4597401E+1	3.0085678E+2	7.9970006E-5	1.0000000E-1	1.2504687E+3	1.0000590E-1	1.2505426E+3	-5.8999999E-6	-7.3777661E-2	8.7784824E+0	1.0000000E+0
3.4747917E+1	3.0085858E+2	8.0173377E-5	1.0000000E-1	1.2472968E+3	1.0001040E-1	1.2474265E+3	-1.0400000E-5	-1.2971887E-1	8.7784624E+0	1.0000000E+0
3.4898182E+1	3.0083237E+2	7.9975711E-5	1.0000000E-1	1.2503796E+3	1.0001560E-1	1.2505747E+3	-1.5600001E-5	-1.9505922E-1	8.7787542E+0	1.0000000E+0
3.5048698E+1	3.0082269E+2	7.9833211E-5	1.0000000E-1	1.2526116E+3	1.0002140E-1	1.2528796E+3	-2.1399999E-5	-2.6805887E-1	8.7788620E+0	1.0000000E+0
3.5198700E+1	3.0082269E+2	7.9774538E-5	1.0000000E-1	1.2535327E+3	1.0001780E-1	1.2537559E+3	-1.7799999E-5	-2.2312883E-1	8.7788620E+0	1.0000000E+0
3.5348969E+1	3.0081711E+2	7.9925747E-5	1.0000000E-1	1.2511613E+3	1.0000440E-1	1.2512163E+3	-4.3999999E-6	-5.5051096E-2	8.7789240E+0	1.0000000E+0
3.5499233E+1	3.0080939E+2	7.9741323E-5	1.0000000E-1	1.2540549E+3	1.0003160E-1	1.2544513E+3	-3.1600001E-5	-3.9628136E-1	8.7790098E+0	1.0000000E+0
3.5649483E+1	3.0079828E+2	8.0220358E-5	1.0000000E-1	1.2465663E+3	9.9995613E-2	1.2465116E+3	4.3900000E-6	5.4724261E-2	8.7791338E+0	1.0000000E+0
3.5799999E+1	3.0078696E+2	7.9808167E-5	1.0000000E-1	1.2530045E+3	9.9997997E-2	1.2529795E+3	2.0000000E-6	2.5060091E-2	8.7792597E+0	1.0000000E+0
3.5950268E+1	3.0077747E+2	7.9995742E-5	1.0000000E-1	1.2500665E+3	1.0002950E-1	1.2504353E+3	-2.9500001E-5	-3.6876965E-1	8.7793655E+0	1.0000000E+0
3.6100533E+1	3.0079431E+2	8.0154088E-5	1.0000000E-1	1.2475969E+3	1.0001060E-1	1.2477292E+3	-1.0600000E-5	-1.3224527E-1	8.7791777E+0	1.0000000E+0
3.6250782E+1	3.0076059E+2	8.0191377E-5	1.0000000E-1	1.2470168E+3	1.0002020E-1	1.2472687E+3	-2.0199999E-5	-2.5189739E-1	8.7795544E+0	1.0000000E+0
3.6401051E+1	3.0075305E+2	7.9991063E-5	1.0000000E-1	1.2501396E+3	1.0002730E-1	1.2504810E+3	-2.7300001E-5	-3.4128815E-1	8.7796383E+0	1.0000000E+0
3.6551567E+1	3.0074335E+2	7.9899619E-5	1.0000000E-1	1.2515704E+3	1.0001180E-1	1.2517181E+3	-1.1800000E-5	-1.4768530E-1	8.7797461E+0	1.0000000E+0
3.6701565E+1	3.0073584E+2	7.9832069E-5	1.0000000E-1	1.2526294E+3	1.0000680E-1	1.2527146E+3	-6.7999999E-6	-8.5178800E-2	8.7798300E+0	1.0000000E+0
3.6851833E+1	3.0070963E+2	7.9897312E-5	1.0000000E-1	1.2516066E+3	1.0003520E-1	1.2520471E+3	-3.5199999E-5	-4.4056553E-1	8.7801218E+0	1.0000000E+0
3.7002083E+1	3.0070209E+2	7.9726728E-5	1.0000000E-1	1.2542844E+3	1.0001850E-1	1.2545165E+3	-1.8500001E-5	-2.3204263E-1	8.7802057E+0	1.0000000E+0
3.7152351E+1	3.0065491E+2	7.9781290E-5	1.0000000E-1	1.2534268E+3	1.0000320E-1	1.2534668E+3	-3.2000000E-6	-4.0109653E-2	8.7807322E+0	1.0000000E+0
3.7302868E+1	3.0069455E+2	8.0096077E-5	1.0000000E-1	1.2485006E+3	1.0004540E-1	1.2490674E+3	-4.5400000E-5	-5.6681925E-1	8.7802896E+0	1.0000000E+0
3.7453133E+1	3.0067966E+2	7.9806261E-5	1.0000000E-1	1.2530345E+3	1.0004930E-1	1.2536522E+3	-4.9300001E-5	-6.1774606E-1	8.7804556E+0	1.0000000E+0
3.7603401E+1	3.0064020E+2	7.9860911E-5	1.0000000E-1	1.2521771E+3	9.9998467E-2	1.2521580E+3	1.5300000E-6	1.9158309E-2	8.7808962E+0	1.0000000E+0
3.7753651E+1	3.0063824E+2	8.0048718E-5	1.0000000E-1	1.2492393E+3	1.0002370E-1	1.2495353E+3	-2.3700000E-5	-2.9606968E-1	8.7809181E+0	1.0000000E+0
3.7904167E+1	3.0062891E+2	7.9988051E-5	1.0000000E-1	1.2501868E+3	1.0003160E-1	1.2505818E+3	-3.1600001E-5	-3.9505902E-1	8.7810221E+0	1.0000000E+0
3.8054432E+1	3.0061026E+2	7.9857120E-5	1.0000000E-1	1.2522365E+3	1.0002540E-1	1.2525546E+3	-2.5400001E-5	-3.1806806E-1	8.7812300E+0	1.0000000E+0
3.8204700E+1	3.0061386E+2	7.9538157E-5	1.0000000E-1	1.2572582E+3	1.0002610E-1	1.2575863E+3	-2.6100000E-5	-3.2814437E-1	8.7811899E+0	1.0000000E+0
3.8355217E+1	3.0059717E+2	7.9488957E-5	1.0000000E-1	1.2580364E+3	1.0001330E-1	1.2582036E+3	-1.3300000E-5	-1.6731884E-1	8.7813759E+0	1.0000000E+0
3.8505482E+1	3.0058194E+2	7.9604630E-5	1.0000000E-1	1.2562084E+3	1.0000870E-1	1.2563176E+3	-8.6999999E-6	-1.0929012E-1	8.7815456E+0	1.0000000E+0
3.8655735E+1	3.0054822E+2	7.9450321E-5	1.0000000E-1	1.2586482E+3	1.0000350E-1	1.2586923E+3	-3.5000000E-6	-4.4052687E-2	8.7819223E+0	1.0000000E+0
3.8806000E+1	3.0055933E+2	7.9465142E-5	1.0000000E-1	1.2584135E+3	1.0001710E-1	1.2586287E+3	-1.7099999E-5	-2.1518870E-1	8.7817984E+0	1.0000000E+0
